model,roc_auc,roc_auc_std,pr_auc,f1,precision,recall
GradientBoosting,0.8069399124647731,0.0035767966753911225,0.6781275875216032,0.6067206116477155,0.6700361582528795,0.5543654535168772
XGBoost,0.8050401621360406,0.004193109983791045,0.6762230358262351,0.6044609460702987,0.6678405844429967,0.552102583443334
RandomForest,0.8017568286931164,0.003619571437550184,0.667911193389032,0.613236511505054,0.5957107500032596,0.6319064680369602
LogReg,0.7979651374794405,0.004611000258775089,0.6608772221985821,0.610833469627946,0.5787387802255148,0.6467659815198944
Dummy (baseline),0.5,0.0,0.3314375,0.0,0.0,0.0
