threshold,precision,recall,f1
0.1,0.438861304203906,1.0,0.6100119628232263
0.15,0.438861304203906,1.0,0.6100119628232263
0.2,0.43877077952182264,0.9993965907376678,0.6098122238586156
0.25,0.43891432742716835,0.9977372152662544,0.6096414416075214
0.3,0.5421161349552445,0.7126263388143008,0.615785700319364
0.35,0.6345256609642301,0.6154774475788203,0.6248564208591775
0.4,0.6484658528538436,0.5930004525569468,0.6194941296982114
0.45,0.667680744452398,0.5628299894403379,0.610788245886879
0.5,0.6691322388598232,0.5595112384975109,0.6094314820900427
0.55,0.6702977487291213,0.5569467491325992,0.6083875751833238
0.6,0.7229817708333334,0.33504299290994116,0.4578909390784455
0.65,0.7713372889091739,0.2549404133353447,0.38321995464852604
0.7,0.8135964912280702,0.1678986272439282,0.2783543828935851
0.75,0.9778830963665087,0.09337758334590436,0.17047645276783255
0.8,1.0,0.08915371850957912,0.1637119113573407
0.85,1.0,0.08915371850957912,0.1637119113573407
0.9,1.0,0.08915371850957912,0.1637119113573407
